id,name,category,type,tagline,skills,level,rating,upvotes,pricing,url
product-manager,"Product Manager","Role-based Roadmap",role,"Roadmap to product strategy, user discovery, feature prioritization, and launch execution","Market Research; Roadmapping; Agile / Scrum; Metrics & Analytics; A/B Testing; Stakeholder Management","Intermediate",4.92,23600,Free,https://roadmap.sh/product-manager
mlops,"MLOps Engineer","Role-based Roadmap",role,"Production machine learning lifecycle, model tracking, feature stores, and automated deployments","Docker & Kubernetes; MLflow / Weights & Biases; Kubeflow; Model Monitoring; CI/CD for ML; Feature Stores (Feast)","Advanced",4.95,24700,Free,https://roadmap.sh/mlops
python,"Python","Skill-based Roadmap",skill,"From Python syntax fundamentals to advanced async, OOP, and data structures","Variables & Data Types; Functions & Lambdas; OOP & Decorators; Asyncio; Package Management (uv/pip); FastAPI / Django; Type Hinting","Beginner to Advanced",4.98,45600,Free,https://roadmap.sh/python
javascript,"JavaScript","Skill-based Roadmap",skill,"Deep dive into modern ES6+, DOM manipulation, event loop, closures, and async patterns","ES6+ Syntax; Prototypes & Closures; Event Loop & Promises; DOM API; Modules (ESM/CJS); Web APIs; TypeScript Transition","Beginner to Advanced",4.97,46200,Free,https://roadmap.sh/javascript
typescript,"TypeScript","Skill-based Roadmap",skill,"Mastering static typing, generics, utility types, and tsconfig architecture for JavaScript","Type Annotations; Interfaces vs Types; Generics; Utility Types; Narrowing & Type Guards; Decorators; Monorepo Setup","Intermediate",4.96,38900,Free,https://roadmap.sh/typescript
react,"React","Skill-based Roadmap",skill,"Components, hooks, state management, Server Components (RSC), and performance optimization","JSX & Props; Hooks (useState, useEffect, useMemo); Custom Hooks; State Management (Zustand/Redux); React Server Components; TanStack Query","Beginner to Advanced",4.98,47800,Free,https://roadmap.sh/react
nodejs,"Node.js","Skill-based Roadmap",skill,"Event-driven server-side runtime, Streams, Buffers, Worker Threads, and Express/NestJS","Event Loop & Libuv; Streams & Buffers; File System & Path; Express / Fastify; Database Drivers; Security & Authentication; Clustering","Beginner to Advanced",4.95,39100,Free,https://roadmap.sh/nodejs
system-design,"System Design","Skill-based Roadmap",skill,"High-availability architecture, caching, load balancing, sharding, and distributed systems","Load Balancing; Caching (Redis/Memcached); Database Sharding & Replication; Message Queues (Kafka/RabbitMQ); Rate Limiting; CDN & Edge","Advanced",4.99,49500,Free,https://roadmap.sh/system-design
docker,"Docker","Skill-based Roadmap",skill,"Containerization, Dockerfile best practices, multi-stage builds, and Docker Compose","Container vs VM; Docker CLI; Writing Dockerfiles; Multi-stage Builds; Docker Compose; Volume & Networking; Security Hardening","Beginner to Intermediate",4.96,37400,Free,https://roadmap.sh/docker
kubernetes,"Kubernetes","Skill-based Roadmap",skill,"Production container orchestration, Pods, Deployments, Services, Ingress, and Helm","Pods & ReplicaSets; Deployments & StatefulSets; Services & Ingress (NGINX/Traefik); ConfigMaps & Secrets; Helm Charts; CRDs & Operators","Intermediate to Advanced",4.95,36200,Free,https://roadmap.sh/kubernetes
sql,"SQL","Skill-based Roadmap",skill,"Relational database queries, joins, indexing, window functions, and query optimization","SELECT, WHERE, GROUP BY; JOINs (INNER, LEFT, FULL); Window Functions (ROW_NUMBER, OVER); Indexes (B-Tree, GIN); Transactions & ACID; Execution Plans (EXPLAIN)","Beginner to Advanced",4.97,41800,Free,https://roadmap.sh/sql
prompt-engineering,"Prompt Engineering","Skill-based Roadmap",skill,"Techniques for prompting LLMs: Few-Shot, Chain-of-Thought, ReAct, and structured outputs","Zero-Shot & Few-Shot; Chain-of-Thought (CoT); ReAct Framework; Structured Outputs (JSON Schema); RAG Prompting; System Prompt Optimization","Beginner to Intermediate",4.93,32700,Free,https://roadmap.sh/prompt-engineering
rust,"Rust","Skill-based Roadmap",skill,"Memory safety without garbage collection: ownership, borrowing, lifetimes, and concurrency","Ownership & Borrowing; Lifetimes; Structs & Enums; Traits & Generics; Error Handling (Result/Option); Async with Tokio; Cargo & Crates","Intermediate to Advanced",4.96,36900,Free,https://roadmap.sh/rust
golang,"Go (Golang)","Skill-based Roadmap",skill,"Simple, fast, and concurrent programming with Goroutines, Channels, and standard library","Go Syntax & Structs; Interfaces & Methods; Goroutines & Channels; Select & Context; Standard Library (net/http); Testing in Go; Microservices","Beginner to Advanced",4.95,35100,Free,https://roadmap.sh/golang
aws,"AWS (Amazon Web Services)","Skill-based Roadmap",skill,"Cloud computing fundamentals: EC2, S3, Lambda, IAM, VPC, and CloudFormation","IAM & Security; EC2 & VPC Networking; S3 Storage & CloudFront; Lambda & Serverless; RDS & DynamoDB; CloudWatch & Cost Management","Beginner to Advanced",4.94,38200,Free,https://roadmap.sh/aws
git-github,"Git and GitHub","Skill-based Roadmap",skill,"Version control mastery: branching, rebasing, merge conflicts, pull requests, and GitHub Actions","git commit, push, pull; Branching & Merging; Interactive Rebase; Resolving Conflicts; GitHub PR Workflows; SSH Keys & GPG Signing; GitHub Actions CI","Beginner to Intermediate",4.97,44100,Free,https://roadmap.sh/git-github
ai,"Ai Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Ai in 2026","Ai; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.98,36310,Free,https://roadmap.sh/ai
packs,"Packs Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Packs in 2026","Packs; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.88,39760,Free,https://roadmap.sh/packs
newsletters,"Newsletters Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Newsletters in 2026","Newsletters; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.88,39300,Free,https://roadmap.sh/newsletters
power-bi,"Power Bi Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Power Bi in 2026","Power Bi; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.98,39760,Free,https://roadmap.sh/power-bi
product-design,"Product Design Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Product Design in 2026","Product Design; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.98,39760,Free,https://roadmap.sh/product-design
devsecops,"Devsecops Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Devsecops in 2026","Devsecops; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.95,37000,Free,https://roadmap.sh/devsecops
machine-learning,"Machine Learning Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Machine Learning in 2026","Machine Learning; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.92,39070,Free,https://roadmap.sh/machine-learning
postgresql-dba,"Postgresql Dba Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Postgresql Dba in 2026","Postgresql Dba; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.98,39760,Free,https://roadmap.sh/postgresql-dba
api-design,"Api Design Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Api Design in 2026","Api Design; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.9,36310,Free,https://roadmap.sh/api-design
technical-writer,"Technical Writer Roadmap","Role-based Roadmap",role,"Complete structured step-by-step roadmap to master Technical Writer in 2026","Technical Writer; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.92,40680,Free,https://roadmap.sh/technical-writer
game-developer,"Game Developer Roadmap","Role-based Roadmap",role,"Complete structured step-by-step roadmap to master Game Developer in 2026","Game Developer; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.98,37690,Free,https://roadmap.sh/game-developer
server-side-game-developer,"Server Side Game Developer Roadmap","Role-based Roadmap",role,"Complete structured step-by-step roadmap to master Server Side Game Developer in 2026","Server Side Game Developer; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.97,40450,Free,https://roadmap.sh/server-side-game-developer
engineering-manager,"Engineering Manager Roadmap","Role-based Roadmap",role,"Complete structured step-by-step roadmap to master Engineering Manager in 2026","Engineering Manager; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.94,37230,Free,https://roadmap.sh/engineering-manager
devrel,"Devrel Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Devrel in 2026","Devrel; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.92,37000,Free,https://roadmap.sh/devrel
bi-analyst,"Bi Analyst Roadmap","Role-based Roadmap",role,"Complete structured step-by-step roadmap to master Bi Analyst in 2026","Bi Analyst; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.9,36540,Free,https://roadmap.sh/bi-analyst
ai-red-teaming,"Ai Red Teaming Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Ai Red Teaming in 2026","Ai Red Teaming; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.98,36310,Free,https://roadmap.sh/ai-red-teaming
network-engineer,"Network Engineer Roadmap","Role-based Roadmap",role,"Complete structured step-by-step roadmap to master Network Engineer in 2026","Network Engineer; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.92,39300,Free,https://roadmap.sh/network-engineer
forward-deployed-engineer,"Forward Deployed Engineer Roadmap","Role-based Roadmap",role,"Complete structured step-by-step roadmap to master Forward Deployed Engineer in 2026","Forward Deployed Engineer; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.92,37460,Free,https://roadmap.sh/forward-deployed-engineer
claude-code,"Claude Code Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Claude Code in 2026","Claude Code; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.88,36770,Free,https://roadmap.sh/claude-code
python-data-analysis,"Python Data Analysis Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Python Data Analysis in 2026","Python Data Analysis; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.98,39760,Free,https://roadmap.sh/python-data-analysis
vibe-coding,"Vibe Coding Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Vibe Coding in 2026","Vibe Coding; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.88,41140,Free,https://roadmap.sh/vibe-coding
leetcode,"Leetcode Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Leetcode in 2026","Leetcode; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.98,38840,Free,https://roadmap.sh/leetcode
computer-science,"Computer Science Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Computer Science in 2026","Computer Science; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.92,36770,Free,https://roadmap.sh/computer-science
openclaw,"Openclaw Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Openclaw in 2026","Openclaw; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.98,39530,Free,https://roadmap.sh/openclaw
vue,"Vue Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Vue in 2026","Vue; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.94,41140,Free,https://roadmap.sh/vue
angular,"Angular Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Angular in 2026","Angular; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.96,36310,Free,https://roadmap.sh/angular
java,"Java Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Java in 2026","Java; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.89,38380,Free,https://roadmap.sh/java
aspnet-core,"Aspnet Core Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Aspnet Core in 2026","Aspnet Core; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.88,36310,Free,https://roadmap.sh/aspnet-core
spring-boot,"Spring Boot Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Spring Boot in 2026","Spring Boot; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.88,40450,Free,https://roadmap.sh/spring-boot
flutter,"Flutter Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Flutter in 2026","Flutter; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.96,37460,Free,https://roadmap.sh/flutter
c,"C Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master C in 2026","C; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.97,36770,Free,https://roadmap.sh/c
cpp,"Cpp Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Cpp in 2026","Cpp; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.94,36770,Free,https://roadmap.sh/cpp
ai-product-builder,"Ai Product Builder Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Ai Product Builder in 2026","Ai Product Builder; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.89,36310,Free,https://roadmap.sh/ai-product-builder
software-design-architecture,"Software Design Architecture Roadmap","Role-based Roadmap",role,"Complete structured step-by-step roadmap to master Software Design Architecture in 2026","Software Design Architecture; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.94,40450,Free,https://roadmap.sh/software-design-architecture
react-native,"React Native Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master React Native in 2026","React Native; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.9,40220,Free,https://roadmap.sh/react-native
design-system,"Design System Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Design System in 2026","Design System; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.95,37000,Free,https://roadmap.sh/design-system
mongodb,"Mongodb Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Mongodb in 2026","Mongodb; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.96,39070,Free,https://roadmap.sh/mongodb
linux,"Linux Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Linux in 2026","Linux; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.88,38840,Free,https://roadmap.sh/linux
terraform,"Terraform Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Terraform in 2026","Terraform; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.95,40680,Free,https://roadmap.sh/terraform
datastructures-and-algorithms,"Datastructures And Algorithms Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Datastructures And Algorithms in 2026","Datastructures And Algorithms; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.9,37000,Free,https://roadmap.sh/datastructures-and-algorithms
redis,"Redis Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Redis in 2026","Redis; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.88,40220,Free,https://roadmap.sh/redis
php,"Php Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Php in 2026","Php; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.94,39760,Free,https://roadmap.sh/php
cloudflare,"Cloudflare Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Cloudflare in 2026","Cloudflare; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.9,36770,Free,https://roadmap.sh/cloudflare
ai-agents,"Ai Agents Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Ai Agents in 2026","Ai Agents; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.95,36310,Free,https://roadmap.sh/ai-agents
nextjs,"Nextjs Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Nextjs in 2026","Nextjs; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.92,39300,Free,https://roadmap.sh/nextjs
kotlin,"Kotlin Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Kotlin in 2026","Kotlin; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.92,38610,Free,https://roadmap.sh/kotlin
html,"Html Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Html in 2026","Html; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.89,37920,Free,https://roadmap.sh/html
css,"Css Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Css in 2026","Css; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.94,36770,Free,https://roadmap.sh/css
swift-ui,"Swift Ui Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Swift Ui in 2026","Swift Ui; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.98,40450,Free,https://roadmap.sh/swift-ui
shell-bash,"Shell Bash Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Shell Bash in 2026","Shell Bash; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.9,40450,Free,https://roadmap.sh/shell-bash
laravel,"Laravel Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Laravel in 2026","Laravel; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.96,38840,Free,https://roadmap.sh/laravel
elasticsearch,"Elasticsearch Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Elasticsearch in 2026","Elasticsearch; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.95,37230,Free,https://roadmap.sh/elasticsearch
wordpress,"Wordpress Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Wordpress in 2026","Wordpress; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.95,41370,Free,https://roadmap.sh/wordpress
django,"Django Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Django in 2026","Django; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.92,37000,Free,https://roadmap.sh/django
ruby,"Ruby Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Ruby in 2026","Ruby; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.89,40220,Free,https://roadmap.sh/ruby
ruby-on-rails,"Ruby On Rails Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Ruby On Rails in 2026","Ruby On Rails; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.95,40220,Free,https://roadmap.sh/ruby-on-rails
scala,"Scala Roadmap","Skill-based Roadmap",skill,"Complete structured step-by-step roadmap to master Scala in 2026","Scala; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.88,40450,Free,https://roadmap.sh/scala
frontend-beginner,"Frontend Beginner Roadmap","Best Practices & Guides",guide,"Complete structured step-by-step roadmap to master Frontend Beginner in 2026","Frontend Beginner; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.88,37460,Free,https://roadmap.sh/frontend-beginner
backend-beginner,"Backend Beginner Roadmap","Best Practices & Guides",guide,"Complete structured step-by-step roadmap to master Backend Beginner in 2026","Backend Beginner; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.92,36540,Free,https://roadmap.sh/backend-beginner
devops-beginner,"Devops Beginner Roadmap","Best Practices & Guides",role,"Complete structured step-by-step roadmap to master Devops Beginner in 2026","Devops Beginner; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.96,37000,Free,https://roadmap.sh/devops-beginner
git-github-beginner,"Git Github Beginner Roadmap","Best Practices & Guides",guide,"Complete structured step-by-step roadmap to master Git Github Beginner in 2026","Git Github Beginner; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.94,37690,Free,https://roadmap.sh/git-github-beginner
aws-best-practices,"Aws Best Practices Roadmap","Best Practices & Guides",guide,"Complete structured step-by-step roadmap to master Aws Best Practices in 2026","Aws Best Practices; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.89,36310,Free,https://roadmap.sh/aws-best-practices
api-security-best-practices,"Api Security Best Practices Roadmap","Best Practices & Guides",guide,"Complete structured step-by-step roadmap to master Api Security Best Practices in 2026","Api Security Best Practices; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.98,36310,Free,https://roadmap.sh/api-security-best-practices
backend-performance-best-practices,"Backend Performance Best Practices Roadmap","Best Practices & Guides",guide,"Complete structured step-by-step roadmap to master Backend Performance Best Practices in 2026","Backend Performance Best Practices; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.96,36540,Free,https://roadmap.sh/backend-performance-best-practices
frontend-performance-best-practices,"Frontend Performance Best Practices Roadmap","Best Practices & Guides",guide,"Complete structured step-by-step roadmap to master Frontend Performance Best Practices in 2026","Frontend Performance Best Practices; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.91,37460,Free,https://roadmap.sh/frontend-performance-best-practices
code-review-best-practices,"Code Review Best Practices Roadmap","Best Practices & Guides",guide,"Complete structured step-by-step roadmap to master Code Review Best Practices in 2026","Code Review Best Practices; Core Fundamentals; Best Practices; Ecosystem Tools; Advanced Concepts","Beginner to Advanced",4.97,36770,Free,https://roadmap.sh/code-review-best-practices
